Category,Feature,URL,Description,Status (Azure),Risk Assessment (Human),Risk Assessment (AI),Source,Last Checked
AI and machine learning,Agent Framework: On-Behalf-Of-User Authorization,https://docs.databricks.com/aws/en/generative-ai/agent-framework/author-agent#on-behalf-of-user-authentication,"This feature enables on-behalf-of-user authentication for generative AI agents deployed via Mosaic AI Agent Framework. When you deploy an agent that performs on-behalf of end user access using Mosaic AI agent framework, the agent will be able to access Databricks resources using the identity of the agent invoker.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,Agent memory,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-framework/stateful-agents,"Memory lets AI agents remember information from earlier in the conversation or from previous conversations. This lets agents provide context-aware responses and build personalized experiences over time. Use Databricks Lakebase, a fully-managed Postgres OLTP database, to manage conversation state and history.",PUBLIC_PREVIEW,-,-,Docs,2026-03-08
AI and machine learning,AI Query for Custom Models and External Models,https://docs.databricks.com/en/large-language-models/how-to-ai-query.html,"Allows ai_query() to connect with Custom Model and External Model endpoints (querying Foundation Model APIs is enabled by default). When enabled, ai_query() used with external models could result in data egress to external model providers. See the documentation for region availability and DBSQL requirements for this functionality.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,ai_classify,https://learn.microsoft.com/en-us/azure/databricks/sql/language-manual/functions/ai_classify,"The ai_classify() function enables you to classify input text directly in SQL using state-of-the-art generative AI models provided by Databricks Foundation Model APIs. By supplying a set of labels, you can declaratively assign categories to unstructured text.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-08
AI and machine learning,ai_extract,https://learn.microsoft.com/en-us/azure/databricks/sql/language-manual/functions/ai_extract,"The ai_extract() function enables you to extract structured entities from unstructured text directly in SQL using state-of-the-art generative AI models provided by Databricks Foundation Model APIs. After specifying a target schema, you can declaratively transform raw text into structured outputs.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-08
AI and machine learning,ai_parsedocument,https://docs.databricks.com/aws/en/sql/language-manual/functions/ai_parse_document,The ai_parse_document() function invokes a state-of-the-art generative AI model from Databricks Foundation Model APIs to extract structured content from unstructured documents.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,Batch inference,https://learn.microsoft.com/en-gb/azure/databricks/large-language-models/batch-inference-pipelines,"This page shows how you can integrate AI Functions into other Databricks data and AI products to build complete batch inference pipelines. These pipelines can perform end-to-end workflows that include ingestion, preprocessing, inference, and post-processing. Pipelines can be authored in SQL or Python and deployed as:",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,Build MLflow Dashboards,https://learn.microsoft.com/en-gb/azure/databricks/mlflow/build-dashboards,"Using MLflow metadata in system tables, you can build dashboards to analyze your MLflow experiments and runs from the entire workspace. Using the existing MLflow UI and REST APIs for these tasks would require extensive, time-consuming iteration.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,Databricks Assistant Agent Mode,https://learn.microsoft.com/en-us/azure/databricks/notebooks/ds-agent,"Databricks Assistant Agent Mode can automate multiple steps. From a single prompt, it can retrieve relevant assets, generate and run code, fix errors automatically, and visualize results. It can sample data and cell outputs to provide better results.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-09
AI and machine learning,Deploy Agent as Microsoft Teams Chatbot,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-framework/teams-agent,"This page shows how to integrate AI agents with Microsoft Teams using OAuth ""On Behalf Of"" authentication. This integration lets your Databricks agents interact with users through Microsoft Teams while maintaining secure, user-delegated access to Databricks resources.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,External connection tools,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-framework/external-connection-tools,"Learn how to connect AI agent tools to external applications like Slack, Google Calendar, or any service with an API using HTTP requests. Agents can use externally connected tools to automate tasks, send messages, and retrieve data from third-party platforms.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,External Tool Calling for Agents,https://docs.databricks.com/en/generative-ai/agent-framework/external-connection-tools.html,Create AI agent tools that can connect to external applications with an API using HTTP requests,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,Foundation Model Fine-tuning,https://learn.microsoft.com/en-gb/azure/databricks/large-language-models/foundation-model-training/,"This feature is in Public Preview in the following regions: centralus, eastus, eastus2, northcentralus, and westus.",PUBLIC_PREVIEW,-,-,Docs,2026-03-10
AI and machine learning,Foundation Model Fine-tuning Tutorial,https://learn.microsoft.com/en-gb/azure/databricks/large-language-models/foundation-model-training/fine-tune-run-tutorial,"This feature is in Public Preview in the following regions: centralus, eastus, eastus2, northcentralus, and westus.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
